[2026-08-10 21:20:40,932] [INFO] [leetcode_tracker]: APScheduler started: Sunday jobs registered (08:00 AM & 09:30 AM IST).
[2026-08-10 21:20:40,932] [INFO] [leetcode_tracker]: Backend Application ready and listening!
[2026-08-10 21:21:10,161] [WARNING] [leetcode_tracker]: GraphQL error for 'rFIIQ4f2JS': [{'message': 'That user does not exist.', 'locations': [{'line': 3, 'column': 3}], 'path': ['matchedUser'], 'extensions': {'handled': True, 'skip_sentry': True}}, {'message': 'User matching query does not exist.', 'locations': [{'line': 17, 'column': 3}], 'path': ['userContestRanking']}]
[2026-08-10 21:21:35,187] [WARNING] [leetcode_tracker]: Network error fetching 'SriselvanP' (Attempt 1/3): 
[2026-08-10 21:21:56,489] [WARNING] [leetcode_tracker]: Network error fetching 'subashmurugan212' (Attempt 1/3): 
[2026-08-10 21:22:32,963] [INFO] [leetcode_tracker]: Initializing database & tables...
[2026-08-10 21:22:33,261] [INFO] [leetcode_tracker]: Starting background scheduler...
[2026-08-10 21:22:33,262] [INFO] [leetcode_tracker]: APScheduler started: Sunday jobs registered (08:00 AM & 09:30 AM IST).
[2026-08-10 21:22:33,262] [INFO] [leetcode_tracker]: Backend Application ready and listening!
[2026-08-10 21:22:40,952] [INFO] [leetcode_tracker]: Initializing database & tables...
[2026-08-10 21:22:41,260] [INFO] [leetcode_tracker]: Starting background scheduler...
[2026-08-10 21:22:41,262] [INFO] [leetcode_tracker]: APScheduler started: Sunday jobs registered (08:00 AM & 09:30 AM IST).
[2026-08-10 21:22:41,263] [INFO] [leetcode_tracker]: Backend Application ready and listening!
[2026-08-10 21:23:54,973] [INFO] [leetcode_tracker]: Initializing database & tables...
[2026-08-10 21:23:54,978] [INFO] [leetcode_tracker]: Initializing database & tables...
[2026-08-10 21:23:55,366] [INFO] [leetcode_tracker]: Starting background scheduler...
[2026-08-10 21:23:55,369] [INFO] [leetcode_tracker]: APScheduler started: Sunday jobs registered (08:00 AM & 09:30 AM IST).
[2026-08-10 21:23:55,369] [INFO] [leetcode_tracker]: Backend Application ready and listening!
[2026-08-10 21:23:55,369] [INFO] [leetcode_tracker]: Starting background scheduler...
[2026-08-10 21:23:55,372] [INFO] [leetcode_tracker]: APScheduler started: Sunday jobs registered (08:00 AM & 09:30 AM IST).
[2026-08-10 21:23:55,373] [INFO] [leetcode_tracker]: Backend Application ready and listening!
[2026-08-10 21:28:28,657] [INFO] [leetcode_tracker]: Initializing database & tables...
[2026-08-10 21:28:28,657] [INFO] [leetcode_tracker]: Initializing database & tables...
[2026-08-10 21:28:29,014] [INFO] [leetcode_tracker]: Starting background scheduler...
[2026-08-10 21:28:29,016] [INFO] [leetcode_tracker]: APScheduler started: Sunday jobs registered (08:00 AM & 09:30 AM IST).
[2026-08-10 21:28:29,021] [INFO] [leetcode_tracker]: Backend Application ready and listening!
[2026-08-10 21:28:29,023] [INFO] [leetcode_tracker]: Starting background scheduler...
[2026-08-10 21:28:29,026] [INFO] [leetcode_tracker]: APScheduler started: Sunday jobs registered (08:00 AM & 09:30 AM IST).
[2026-08-10 21:28:29,033] [INFO] [leetcode_tracker]: Backend Application ready and listening!
[2026-08-10 21:28:36,588] [INFO] [leetcode_tracker]: Initializing database & tables...
[2026-08-10 21:28:36,591] [INFO] [leetcode_tracker]: Initializing database & tables...
[2026-08-10 21:28:36,987] [INFO] [leetcode_tracker]: Starting background scheduler...
[2026-08-10 21:28:36,988] [INFO] [leetcode_tracker]: Starting background scheduler...
[2026-08-10 21:28:36,990] [INFO] [leetcode_tracker]: APScheduler started: Sunday jobs registered (08:00 AM & 09:30 AM IST).
[2026-08-10 21:28:36,990] [INFO] [leetcode_tracker]: APScheduler started: Sunday jobs registered (08:00 AM & 09:30 AM IST).
[2026-08-10 21:28:36,990] [INFO] [leetcode_tracker]: Backend Application ready and listening!
[2026-08-10 21:28:36,990] [INFO] [leetcode_tracker]: Backend Application ready and listening!
[2026-08-10 21:29:53,578] [INFO] [leetcode_tracker]: Initializing database & tables...
[2026-08-10 21:29:53,581] [INFO] [leetcode_tracker]: Initializing database & tables...
[2026-08-10 21:29:53,929] [INFO] [leetcode_tracker]: Starting background scheduler...
[2026-08-10 21:29:53,930] [INFO] [leetcode_tracker]: Starting background scheduler...
[2026-08-10 21:29:53,931] [INFO] [leetcode_tracker]: APScheduler started: Sunday jobs registered (08:00 AM & 09:30 AM IST).
[2026-08-10 21:29:53,932] [INFO] [leetcode_tracker]: Backend Application ready and listening!
[2026-08-10 21:29:53,932] [INFO] [leetcode_tracker]: APScheduler started: Sunday jobs registered (08:00 AM & 09:30 AM IST).
[2026-08-10 21:29:53,933] [INFO] [leetcode_tracker]: Backend Application ready and listening!
[2026-08-10 21:32:03,876] [INFO] [leetcode_tracker]: Initializing database & tables...
[2026-08-10 21:32:03,890] [INFO] [leetcode_tracker]: Initializing database & tables...
[2026-08-10 21:32:04,635] [INFO] [leetcode_tracker]: Starting background scheduler...
[2026-08-10 21:32:04,637] [INFO] [leetcode_tracker]: APScheduler started: Sunday jobs registered (08:00 AM & 09:30 AM IST).
[2026-08-10 21:32:04,637] [INFO] [leetcode_tracker]: Backend Application ready and listening!
[2026-08-10 21:36:03,814] [INFO] [leetcode_tracker]: Initializing database & tables...
[2026-08-10 21:36:04,186] [INFO] [leetcode_tracker]: Starting background scheduler...
[2026-08-10 21:36:04,188] [INFO] [leetcode_tracker]: APScheduler started: Sunday jobs registered (08:00 AM & 09:30 AM IST).
[2026-08-10 21:36:04,188] [INFO] [leetcode_tracker]: Backend Application ready and listening!
[2026-08-10 21:36:04,454] [INFO] [leetcode_tracker]: Initializing database & tables...
[2026-08-10 21:36:04,857] [INFO] [leetcode_tracker]: Starting background scheduler...
[2026-08-10 21:36:04,859] [INFO] [leetcode_tracker]: APScheduler started: Sunday jobs registered (08:00 AM & 09:30 AM IST).
[2026-08-10 21:36:04,860] [INFO] [leetcode_tracker]: Backend Application ready and listening!
[2026-08-10 21:40:07,704] [INFO] [leetcode_tracker]: Initializing database & tables...
[2026-08-10 21:40:07,705] [INFO] [leetcode_tracker]: Initializing database & tables...
[2026-08-10 21:40:08,101] [INFO] [leetcode_tracker]: Starting background scheduler...
[2026-08-10 21:40:08,104] [INFO] [leetcode_tracker]: APScheduler started: Sunday jobs registered (08:00 AM & 09:30 AM IST).
[2026-08-10 21:40:08,104] [INFO] [leetcode_tracker]: Backend Application ready and listening!
